Model,Accuracy,Precision (Default),Recall (Default),F1-Score (Default),ROC-AUC,PR-AUC (Avg Precision),True Negatives,False Positives,False Negatives,True Positives
Logistic Regression,0.8113236655353286,0.5473071324599709,0.7954866008462623,0.6484622017821213,0.8834537106977096,0.7312253413616243,4131,933,290,1128
Decision Tree,0.9066646096883678,0.8345679012345679,0.7150916784203103,0.7702240789973415,0.8969584244101453,0.8317801816612218,4863,201,404,1014
Random Forest,0.9180808392471459,0.852263701350278,0.7566995768688294,0.8016436309301457,0.9297228201168903,0.8802420962020086,4878,186,345,1073
XGBoost,0.91792656587473,0.8124118476727785,0.8124118476727785,0.8124118476727785,0.9495286844609032,0.9071147856091518,4798,266,266,1152
